coef,"apply(table, MARGIN = 1, FUN = mean)"
n.children,1.557236439
creditlow,1.463730981
areaDC,0.900084694
sales.channelPhone,0.865503744
creditmedium,0.71560652
sales.channelOnline,0.713310811
tenure,0.692561573
n.adults,0.381114653
claim.ind,0.317676483
house.colorwhite,0.106814461
coverage.typeC,0.048411118
dwelling.typeHouse,0.044772889
dwelling.typeTenant,0.029599947
house.colorred,0.005724694
areaWA,0.005560483
house.coloryellow,-0.042624344
coverage.typeB,-0.063025068
areaIA,-0.16775321
areaCO,-0.298455642
ni.marital.status,-0.327392839
intercept,-0.47055291
len.at.res,-0.554182596
areaPA,-0.704368289
ni.age,-1.402357267
